charge_id,customer_id,user_id,amount,amount_refunded,currency,status,paid,payment_method,created,description,failure_code,failure_message,invoice_id,metadata,receipt_email,risk_level,risk_score
ch_81ac581a8fc95b,cus_b91855370b0f79,21,29900,0,GBP,succeeded,True,bank_transfer,2025-04-08 07:03:43.486122,Recurring payment - month 4,,,in_f2117822bcc952,"{""user_id"": ""21"", ""recurring_month"": 4}",aking@example.net,normal,11
ch_d29bb4e5bcc574,cus_b91855370b0f79,21,29900,0,Eur,succeeded,True,google_pay,2025-05-09 01:03:43.486122,Recurring payment - month 5,,,in_0cbca66ac51c5e,"{""user_id"": ""21"", ""recurring_month"": 5}",walkerdaryl@example.org,normal,13
ch_7e2962278f68c0,cus_d121c20811bde0,28,2900,0,Eur,succeeded,True,card_visa,2025-03-04 17:08:01.257430,Subscription payment for plan price_01d471111cc187,,,in_0f1bfb29428003,"{""user_id"": ""28"", ""attempt"": 1}",glenn24@example.net,normal,32
ch_ec480fb53f9cd4,cus_d121c20811bde0,28,2900,0,eur,succeeded,True,card_discover,2025-04-04 00:07:55.257430,Recurring payment - month 2,,,in_d584c8f27bf4de,"{""user_id"": ""28"", ""recurring_month"": 2}",jason60@example.org,normal,14
ch_49d41c9b4a9648,cus_dd6242edcbe24c,34,4900,0,GBP,failed,False,apple_pay,2025-03-03 07:52:26.686235,Subscription payment for plan price_4d5dc80f078832,insufficient_funds,Your card was declined.,in_d50bdb92a9470f,"{""user_id"": ""34"", ""attempt"": 1}",,normal,30
ch_de32c60cb6a51a,cus_dd6242edcbe24c,34,4900,0,gbp,succeeded,True,card_mastercard,2025-03-03 09:58:31.602371,Subscription payment for plan price_4d5dc80f078832,,,in_7a14afaf056fc9,"{""user_id"": ""34"", ""attempt"": 2}",kennethbarnett@example.net,normal,30
ch_a38d166fa57225,cus_dd6242edcbe24c,34,4900,0,usd,succeeded,True,bank_transfer,2025-04-02 13:58:06.602371,Recurring payment - month 2,,,in_6bc8cd7300f82d,"{""user_id"": ""34"", ""recurring_month"": 2}",,normal,5
ch_5dec4f7580b32d,cus_dd6242edcbe24c,34,4900,0,usd,failed,False,card_discover,2025-05-01 23:58:06.602371,Recurring payment - month 3,card_declined,Your card was declined.,in_2c33a5fbdedb70,"{""user_id"": ""34"", ""recurring_month"": 3}",,normal,18
ch_07a5e06365f30e,cus_dd6242edcbe24c,34,4900,0,GBP,succeeded,True,card_mastercard,2025-06-01 04:58:06.602371,Recurring payment - month 4,,,in_ee4bac3c3169ce,"{""user_id"": ""34"", ""recurring_month"": 4}",jacqueline27@example.net,normal,20
ch_e9f9d62fe7519f,cus_086d693e6d14e1,36,9900,0,usd,succeeded,True,sepa_debit,2025-02-10 22:21:19.965599,Subscription payment for plan price_206ae1f4608026,,,in_919feaa6c93fb1,"{""user_id"": ""36"", ""attempt"": 1}",thompsonkristine@example.org,normal,18
ch_e5378c8ce50b61,cus_086d693e6d14e1,36,9900,0,USD,succeeded,True,apple_pay,2025-03-12 14:21:14.965599,Recurring payment - month 2,,,in_ab04ad73cc866a,"{""user_id"": ""36"", ""recurring_month"": 2}",,normal,14
ch_b5b0e23bf50358,cus_086d693e6d14e1,36,9900,0,gbp,succeeded,True,apple_pay,2025-04-12 09:21:14.965599,Recurring payment - month 3,,,in_b98d8818d82a8e,"{""user_id"": ""36"", ""recurring_month"": 3}",xtaylor@example.org,normal,7
ch_641975a8fa4f56,cus_5fa58534ceb7fb,53,29900,0,GBP,succeeded,True,google_pay,2025-02-17 01:55:04.912354,Subscription payment for plan price_4f1762a06781e6,,,in_60d74ab8e25fce,"{""user_id"": ""53"", ""attempt"": 1}",michelemccoy@example.net,normal,5
ch_8fcb788a5d5455,cus_5fa58534ceb7fb,53,29900,0,GBP,succeeded,True,card_visa,2025-03-19 11:55:00.912354,Recurring payment - month 2,,,in_f8395f86a46c76,"{""user_id"": ""53"", ""recurring_month"": 2}",,normal,7
ch_fc66b83f112731,cus_5fa58534ceb7fb,53,29900,0,usd,succeeded,True,card_discover,2025-04-18 01:55:00.912354,Recurring payment - month 3,,,in_8678e80de039b7,"{""user_id"": ""53"", ""recurring_month"": 3}",nicolelopez@example.org,normal,15
ch_ca174430be5526,cus_d1d8ad7b0aaeb9,58,4900,4900,eur,succeeded,True,bank_transfer,2025-01-28 08:22:28.543456,Subscription payment for plan price_070905f2f5653f,,,in_2c163efc234039,"{""user_id"": ""58"", ""attempt"": 1}",jordancooper@example.org,normal,64
ch_64e4067c7fa27b,cus_f0e561650738c3,63,19900,0,gbp,succeeded,True,card_discover,2025-01-26 12:18:07.022274,Subscription payment for plan price_cd7c2c333dd327,,,in_703e3be2ba430d,"{""user_id"": ""63"", ""attempt"": 1}",tfernandez@example.org,normal,42
ch_7c9cbf40e3dba6,cus_f0e561650738c3,63,19900,0,gbp,succeeded,True,card_mastercard,2025-02-08 17:08:49.722999,Subscription payment for plan price_cd7c2c333dd327,,,in_54535007051fde,"{""user_id"": ""63"", ""attempt"": 2}",andrewmorris@example.org,highest,8
ch_e212095a9d1694,cus_f0e561650738c3,63,19900,0,eur,succeeded,True,card_amex,2025-03-10 09:08:27.722999,Recurring payment - month 2,,,in_90e7e5f2676d0e,"{""user_id"": ""63"", ""recurring_month"": 2}",fmorris@example.net,normal,19
ch_3a47f66218ce5d,cus_f0e561650738c3,63,19900,0,usd,succeeded,True,card_amex,2025-04-10 02:08:27.722999,Recurring payment - month 3,,,in_4fe3486d65156f,"{""user_id"": ""63"", ""recurring_month"": 3}",,normal,18
ch_f74942ffa7c08b,cus_f0e561650738c3,63,19900,0,GBP,succeeded,True,card_amex,2025-05-10 01:08:27.722999,Recurring payment - month 4,,,in_a38adcb603a3c4,"{""user_id"": ""63"", ""recurring_month"": 4}",,normal,29
ch_2112f7eddf1efb,cus_f0e561650738c3,63,19900,0,GBP,succeeded,True,card_discover,2025-06-08 10:08:27.722999,Recurring payment - month 5,,,in_a7cd52bd9b8685,"{""user_id"": ""63"", ""recurring_month"": 5}",,normal,8
ch_70ccafcfb1cfb9,cus_eddbf90939afd3,72,19900,0,USD,succeeded,True,card_mastercard,2025-01-13 08:17:34.949009,Subscription payment for plan price_a41cb27f4d1916,,,in_a7a667c6e7f70b,"{""user_id"": ""72"", ""attempt"": 1}",,elevated,42
ch_cf3e1088ca073d,cus_eddbf90939afd3,72,19900,0,eur,succeeded,True,bank_transfer,2025-02-12 18:17:14.949009,Recurring payment - month 2,,,in_381cedebff4697,"{""user_id"": ""72"", ""recurring_month"": 2}",,normal,2
ch_547fd9b15cd6a2,cus_eddbf90939afd3,72,19900,0,USD,succeeded,True,card_discover,2025-03-13 21:17:14.949009,Recurring payment - month 3,,,in_f1e51dc5224919,"{""user_id"": ""72"", ""recurring_month"": 3}",,normal,24
ch_af295166b73c66,cus_eddbf90939afd3,72,19900,0,eur,succeeded,True,card_discover,2025-04-13 02:17:14.949009,Recurring payment - month 4,,,in_5340d285f1f9a5,"{""user_id"": ""72"", ""recurring_month"": 4}",,normal,5
ch_927cadfa751d13,cus_eddbf90939afd3,72,19900,0,Eur,succeeded,True,google_pay,2025-05-13 18:17:14.949009,Recurring payment - month 5,,,in_b54f1572a452d5,"{""user_id"": ""72"", ""recurring_month"": 5}",,normal,24
ch_f74d2e8e9b5f1b,cus_5d49a3280a0f8c,80,19304,0,USD,failed,False,bank_transfer,2025-01-18 03:24:40.187259,Subscription payment for plan price_ac0039b6a91385,card_declined,Your card was declined.,in_bdb420a43d2cad,"{""user_id"": ""80"", ""attempt"": 1}",,elevated,33
ch_80894ae2909eae,cus_df7023cfce2a75,84,2900,0,USD,succeeded,True,card_discover,2025-01-14 05:49:43.614035,Subscription payment for plan price_5e1a4c13104d63,,,in_9f934f0293747b,"{""user_id"": ""84"", ""attempt"": 1}",michaelsuarez@example.org,normal,2
ch_ece5954dbba931,cus_df7023cfce2a75,84,2900,0,Eur,succeeded,True,apple_pay,2025-02-13 11:49:30.614035,Recurring payment - month 2,,,in_1b60200ca4ec39,"{""user_id"": ""84"", ""recurring_month"": 2}",,normal,6
ch_bd3d84c66f6ee3,cus_df7023cfce2a75,84,2900,0,Eur,failed,False,sepa_debit,2025-03-15 14:49:30.614035,Recurring payment - month 3,card_declined,Your card was declined.,in_8aab3b2a6410c1,"{""user_id"": ""84"", ""recurring_month"": 3}",,normal,14
ch_768799ca612420,cus_df7023cfce2a75,84,2900,0,GBP,succeeded,True,google_pay,2025-04-14 10:49:30.614035,Recurring payment - month 4,,,in_20ab72e9b3c6ff,"{""user_id"": ""84"", ""recurring_month"": 4}",,normal,16
ch_60e58b90727a61,cus_df7023cfce2a75,84,2900,0,gbp,succeeded,True,bank_transfer,2025-05-13 21:49:30.614035,Recurring payment - month 5,,,in_d75a4f39bc5185,"{""user_id"": ""84"", ""recurring_month"": 5}",castillojoseph@example.com,normal,7
ch_2288ca6cbddabf,cus_5f888ae6b2d86c,87,19900,0,gbp,succeeded,True,card_discover,2025-01-20 06:43:53.792584,Subscription payment for plan price_b5c01186136440,,,in_66e454aa7292a1,"{""user_id"": ""87"", ""attempt"": 1}",gavin02@example.com,normal,64
ch_2c2529e0ac7e82,cus_5f888ae6b2d86c,87,20149,0,usd,succeeded,True,card_discover,2025-01-24 18:10:50.245969,Subscription payment for plan price_b5c01186136440,,,in_dea0fee5352fc8,"{""user_id"": ""87"", ""attempt"": 2}",noah37@example.net,highest,28
ch_5071c1b9a2cd64,cus_5f888ae6b2d86c,87,19900,0,GBP,succeeded,True,bank_transfer,2025-01-27 04:00:52.491794,Subscription payment for plan price_b5c01186136440,,,in_4b71748ab8164c,"{""user_id"": ""87"", ""attempt"": 3}",zbolton@example.org,highest,39
ch_8afb1c2dd3d70f,cus_5f888ae6b2d86c,87,19900,0,gbp,succeeded,True,card_amex,2025-01-31 03:25:54.183717,Subscription payment for plan price_b5c01186136440,,,in_79fd7835ebc3ba,"{""user_id"": ""87"", ""attempt"": 4}",trevorarmstrong@example.org,elevated,31
ch_97f0e0bc403411,cus_5f888ae6b2d86c,87,19900,0,GBP,failed,False,card_visa,2025-03-02 05:25:49.183717,Recurring payment - month 2,card_declined,Your card was declined.,in_6e9c49d410eb37,"{""user_id"": ""87"", ""recurring_month"": 2}",,normal,26
ch_471eabdaacf958,cus_5f888ae6b2d86c,87,19900,0,GBP,succeeded,True,bank_transfer,2025-04-01 00:25:49.183717,Recurring payment - month 3,,,in_2747ebc42d81d3,"{""user_id"": ""87"", ""recurring_month"": 3}",wongrobert@example.net,normal,7
ch_e3c94d2ecac344,cus_eb6556e4a98712,99,19900,0,eur,succeeded,True,apple_pay,2025-01-09 06:30:43.629584,Subscription payment for plan price_fa764124a3f0c1,,,in_ca8bd0dc23a550,"{""user_id"": ""99"", ""attempt"": 1}",,elevated,51
ch_3df196f881e87c,cus_eb6556e4a98712,99,19900,0,usd,succeeded,True,apple_pay,2025-01-21 14:35:39.012059,Subscription payment for plan price_fa764124a3f0c1,,,in_23d78857419f07,"{""user_id"": ""99"", ""attempt"": 2}",,normal,17
ch_d6c5115b040f98,cus_eb6556e4a98712,99,19900,0,USD,succeeded,True,sepa_debit,2025-01-26 06:25:44.218093,Subscription payment for plan price_fa764124a3f0c1,,,in_1bf7cb32bc8a47,"{""user_id"": ""99"", ""attempt"": 3}",,normal,22
ch_fc5cf4585b0d2e,cus_eb6556e4a98712,99,19900,0,USD,succeeded,True,card_discover,2025-02-25 05:25:33.218093,Recurring payment - month 2,,,in_a589254ddcd90a,"{""user_id"": ""99"", ""recurring_month"": 2}",,normal,8
ch_689e87bcf930a4,cus_eb6556e4a98712,99,19900,0,eur,succeeded,True,bank_transfer,2025-03-27 08:25:33.218093,Recurring payment - month 3,,,in_e05ab11cda1b37,"{""user_id"": ""99"", ""recurring_month"": 3}",tracywilliams@example.org,normal,7
ch_d9585a3733429e,cus_eb6556e4a98712,99,19900,0,eur,succeeded,True,card_mastercard,2025-04-26 13:25:33.218093,Recurring payment - month 4,,,in_be92adcbe2a7b4,"{""user_id"": ""99"", ""recurring_month"": 4}",,normal,9
ch_9c62819900062d,cus_eb6556e4a98712,99,19900,0,gbp,succeeded,True,card_amex,2025-05-26 05:25:33.218093,Recurring payment - month 5,,,in_d25cd134148e43,"{""user_id"": ""99"", ""recurring_month"": 5}",,normal,19
ch_d55f53e76fb7f5,cus_c000f2ccd3d156,106,28842,28842,USD,succeeded,True,card_discover,2025-01-08 06:26:58.726847,Subscription payment for plan price_f948640b5bb5f9,,,in_7ddb7676014bdd,"{""user_id"": ""106"", ""attempt"": 1}",beckernicholas@example.net,normal,14
ch_dd786581bf2d84,cus_c000f2ccd3d156,106,29900,0,GBP,succeeded,True,sepa_debit,2025-01-17 07:39:28.205940,Subscription payment for plan price_f948640b5bb5f9,,,in_914847d3120521,"{""user_id"": ""106"", ""attempt"": 2}",ashleyward@example.org,normal,43
ch_3789dc71d4fd2b,cus_c000f2ccd3d156,106,29900,0,eur,succeeded,True,card_visa,2025-02-16 14:39:29.205940,Recurring payment - month 2,,,in_00fe2b57dedf6b,"{""user_id"": ""106"", ""recurring_month"": 2}",fosterjohn@example.com,normal,14
ch_3a74028a40a487,cus_f885dabb709ab6,108,29950,0,GBP,succeeded,True,card_amex,2025-01-24 02:00:20.177035,Subscription payment for plan price_efd807586ca936,,,in_f5685be64739cf,"{""user_id"": ""108"", ""attempt"": 1}",cheryl10@example.net,elevated,1
ch_297f1c991cf57f,cus_f885dabb709ab6,108,29900,0,Eur,succeeded,True,card_visa,2025-02-22 15:59:52.177035,Recurring payment - month 2,,,in_6ea2e565368a94,"{""user_id"": ""108"", ""recurring_month"": 2}",,normal,3
ch_f34dc311109d1e,cus_f885dabb709ab6,108,29900,0,Eur,succeeded,True,sepa_debit,2025-03-25 00:59:52.177035,Recurring payment - month 3,,,in_fca6c97234fd36,"{""user_id"": ""108"", ""recurring_month"": 3}",tonybush@example.com,normal,30
ch_012606cdbad92b,cus_03a9e07ee6a382,116,2900,0,Eur,succeeded,True,card_visa,2025-01-06 13:34:27.003731,Subscription payment for plan price_f319a9f7b45405,,,in_5fb6ec0fe674c9,"{""user_id"": ""116"", ""attempt"": 1}",suzannecoleman@example.org,normal,65
ch_69f883ff7e4d58,cus_d8a0a216b92498,121,19900,0,USD,succeeded,True,bank_transfer,2025-01-04 19:39:01.338883,Subscription payment for plan price_74bc099334e103,,,in_0c6513242d6d35,"{""user_id"": ""121"", ""attempt"": 1}",garciajessica@example.com,normal,47
ch_67a8ef2c01cc2c,cus_d8a0a216b92498,121,19900,0,USD,failed,False,bank_transfer,2025-01-04 19:38:36.338883,Subscription payment for plan price_74bc099334e103,idempotency_key_in_use,,in_0c6513242d6d35,"{""user_id"": ""121"", ""attempt"": 1}",garciajessica@example.com,normal,47
ch_290f28ac0824fd,cus_d8a0a216b92498,121,19900,0,Eur,succeeded,True,card_visa,2025-01-06 15:41:48.210531,Subscription payment for plan price_74bc099334e103,,,in_070abe4917f674,"{""user_id"": ""121"", ""attempt"": 2}",,highest,21
ch_3ff328ba5cada5,cus_d8a0a216b92498,121,19900,0,Eur,succeeded,True,google_pay,2025-01-12 12:23:22.194394,Subscription payment for plan price_74bc099334e103,,,in_d1675fa89cec39,"{""user_id"": ""121"", ""attempt"": 3}",tristanjimenez@example.org,highest,4
ch_0e5ddd98a7967e,cus_d8a0a216b92498,121,19900,0,GBP,succeeded,True,card_mastercard,2025-02-11 05:23:15.194394,Recurring payment - month 2,,,in_aa209a284b4016,"{""user_id"": ""121"", ""recurring_month"": 2}",,normal,19
ch_1c59d426903dbd,cus_d8a0a216b92498,121,19900,0,gbp,succeeded,True,card_discover,2025-03-13 03:23:15.194394,Recurring payment - month 3,,,in_b0ff4b6dfb958c,"{""user_id"": ""121"", ""recurring_month"": 3}",,normal,10
ch_a3734730431866,cus_d8a0a216b92498,121,19900,0,USD,succeeded,True,sepa_debit,2025-04-12 07:23:15.194394,Recurring payment - month 4,,,in_8a5cd645f40cd2,"{""user_id"": ""121"", ""recurring_month"": 4}",,normal,25
ch_e10f1b4560f63e,cus_2b5aac3391ac87,129,29900,0,usd,succeeded,True,google_pay,2025-02-05 16:29:59.305476,Subscription payment for plan price_ac79421a2d09cb,,,in_26fe9760653fc0,"{""user_id"": ""129"", ""attempt"": 1}",,normal,37
ch_4b8b190504c2a2,cus_2b5aac3391ac87,129,29900,0,GBP,succeeded,True,bank_transfer,2025-02-12 05:55:30.083591,Subscription payment for plan price_ac79421a2d09cb,,,in_799328d340411f,"{""user_id"": ""129"", ""attempt"": 2}",jillian77@example.net,normal,7
ch_ff736a77a58086,cus_2b5aac3391ac87,129,29900,0,GBP,succeeded,True,card_discover,2025-03-14 11:55:26.083591,Recurring payment - month 2,,,in_73f020b010fe17,"{""user_id"": ""129"", ""recurring_month"": 2}",,normal,15
ch_0bf15fe1e9a371,cus_2b5aac3391ac87,129,29900,0,usd,succeeded,True,sepa_debit,2025-04-13 15:55:26.083591,Recurring payment - month 3,,,in_86b18838a895bb,"{""user_id"": ""129"", ""recurring_month"": 3}",,normal,15
ch_b2dd5bf4a77afa,cus_2b5aac3391ac87,129,29900,0,USD,succeeded,True,card_discover,2025-05-13 04:55:26.083591,Recurring payment - month 4,,,in_d722cb6136eb40,"{""user_id"": ""129"", ""recurring_month"": 4}",,normal,21
ch_53dbe07ff075ad,cus_2b5aac3391ac87,129,29900,0,GBP,succeeded,True,card_discover,2025-06-12 17:55:26.083591,Recurring payment - month 5,,,in_7cc829b3163d78,"{""user_id"": ""129"", ""recurring_month"": 5}",rogerslinda@example.net,normal,3
ch_4c683f0d32482a,cus_6bdd5640f07fb8,142,4900,0,GBP,succeeded,True,sepa_debit,2025-01-11 23:02:25.439928,Subscription payment for plan price_2d89ef57d9dd6e,,,in_d3b607d86b8e2f,"{""user_id"": ""142"", ""attempt"": 1}",paulstokes@example.com,normal,50
ch_650b9500d77e79,cus_7859d43dcb3dc0,144,29900,7475,USD,succeeded,True,card_visa,2025-01-09 04:18:38.454629,Subscription payment for plan price_592a77a9132978,,,in_52648fae2d0431,"{""user_id"": ""144"", ""attempt"": 1}",flawson@example.org,normal,38
ch_18ac6f6bb1ba90,cus_7859d43dcb3dc0,144,29900,0,USD,requires_action,False,apple_pay,2025-01-14 18:06:49.887347,Subscription payment for plan price_592a77a9132978,processing_error,Your card was declined.,in_f5b94fae127b71,"{""user_id"": ""144"", ""attempt"": 2}",yross@example.org,elevated,89
ch_bdba47b0ca5038,cus_7859d43dcb3dc0,144,29900,0,USD,succeeded,True,bank_transfer,2025-01-16 00:53:58.183889,Subscription payment for plan price_592a77a9132978,,,in_4c37f3548df5dd,"{""user_id"": ""144"", ""attempt"": 3}",johnle@example.net,normal,64
ch_349fe7ac34cfab,cus_7859d43dcb3dc0,144,29900,0,eur,succeeded,True,bank_transfer,2025-01-28 10:42:45.439871,Subscription payment for plan price_592a77a9132978,,,in_6e577ea97f2e67,"{""user_id"": ""144"", ""attempt"": 4}",,normal,62
ch_d041daeb30dd0f,cus_7859d43dcb3dc0,144,29900,0,usd,failed,False,card_mastercard,2025-02-27 10:42:24.439871,Recurring payment - month 2,card_declined,Your card was declined.,in_7f3d2a99b98c27,"{""user_id"": ""144"", ""recurring_month"": 2}",,normal,8
ch_e31d4404712314,cus_73c2edc4727622,150,28663,0,usd,succeeded,True,google_pay,2025-01-06 14:13:54.413629,Subscription payment for plan price_b7b6720e74aaaa,,,in_705d6162cb5bbc,"{""user_id"": ""150"", ""attempt"": 1}",mary70@example.org,elevated,43
ch_47a6241906bc8b,cus_73c2edc4727622,150,29900,0,USD,succeeded,True,card_visa,2025-02-05 23:13:42.413629,Recurring payment - month 2,,,in_7377cdc09add33,"{""user_id"": ""150"", ""recurring_month"": 2}",,normal,4
ch_e9f941fa80579e,cus_73c2edc4727622,150,29900,0,Eur,succeeded,True,card_discover,2025-03-07 15:13:42.413629,Recurring payment - month 3,,,in_bfb512f4faef4a,"{""user_id"": ""150"", ""recurring_month"": 3}",,normal,2
ch_01f2cc124e3fad,cus_90511eb37e52f3,162,19900,0,gbp,succeeded,True,card_discover,2025-01-12 19:37:26.360012,Subscription payment for plan price_9e7a1e340b55dc,,,in_8c3e6a94451599,"{""user_id"": ""162"", ""attempt"": 1}",rpotter@example.net,elevated,21
ch_d19f103626a501,cus_90511eb37e52f3,162,19900,0,GBP,failed,False,card_mastercard,2025-02-12 03:37:31.360012,Recurring payment - month 2,card_declined,Your card was declined.,in_140fa900e559a2,"{""user_id"": ""162"", ""recurring_month"": 2}",,normal,16
ch_72d7d61ca1a832,cus_90511eb37e52f3,162,19900,0,eur,succeeded,True,card_amex,2025-03-13 14:37:31.360012,Recurring payment - month 3,,,in_7903bf553f09ed,"{""user_id"": ""162"", ""recurring_month"": 3}",william60@example.net,normal,12
ch_888afceb5f07b6,cus_90511eb37e52f3,162,19900,0,USD,succeeded,True,apple_pay,2025-04-12 09:37:31.360012,Recurring payment - month 4,,,in_ffebad800bb788,"{""user_id"": ""162"", ""recurring_month"": 4}",,normal,18
ch_53523d28cd2a2e,cus_a6abfaa1ee137a,167,2900,0,GBP,succeeded,True,sepa_debit,2025-01-24 00:42:08.008312,Subscription payment for plan price_be6b8b0208d37e,,,in_c6d78a370b993f,"{""user_id"": ""167"", ""attempt"": 1}",gene72@example.net,normal,52
ch_edc633ab08b145,cus_a6abfaa1ee137a,167,2900,0,USD,failed,False,card_mastercard,2025-02-22 22:41:46.008312,Recurring payment - month 2,card_declined,Your card was declined.,in_6ffd5c9d7f0925,"{""user_id"": ""167"", ""recurring_month"": 2}",kelly34@example.org,normal,5
ch_d00d5fe77ab446,cus_ce243c65d1a3ab,177,19900,0,GBP,succeeded,True,bank_transfer,2025-02-03 02:20:45.208897,Subscription payment for plan price_4df94b4058ec89,,,in_a4e425bfc5dcdc,"{""user_id"": ""177"", ""attempt"": 1}",graycrystal@example.org,normal,13
ch_5dec36e05dd5b8,cus_ce243c65d1a3ab,177,19900,0,USD,succeeded,True,apple_pay,2025-03-04 22:20:27.208897,Recurring payment - month 2,,,in_799a67dcf27f78,"{""user_id"": ""177"", ""recurring_month"": 2}",ashleykennedy@example.net,normal,16
ch_58801835ee6db7,cus_ce243c65d1a3ab,177,19900,0,eur,failed,False,card_mastercard,2025-04-03 23:20:27.208897,Recurring payment - month 3,card_declined,Your card was declined.,in_367359830ac438,"{""user_id"": ""177"", ""recurring_month"": 3}",anthony01@example.org,normal,5
ch_3ab7841cc5644d,cus_ce243c65d1a3ab,177,19900,0,usd,succeeded,True,card_amex,2025-05-04 11:20:27.208897,Recurring payment - month 4,,,in_52d97b7077e7a1,"{""user_id"": ""177"", ""recurring_month"": 4}",,normal,29
ch_5103022eba8008,cus_23ae733822e3bc,180,29900,0,GBP,failed,False,card_discover,2025-02-04 22:12:44.510855,Subscription payment for plan price_e33153306d35e6,authentication_required,Your card was declined.,in_e9301a6c564d1a,"{""user_id"": ""180"", ""attempt"": 1}",brian22@example.org,normal,78
ch_26430e66b35443,cus_23ae733822e3bc,180,29900,0,usd,succeeded,True,card_mastercard,2025-02-05 00:42:17.989556,Subscription payment for plan price_e33153306d35e6,,,in_bc3f695b55b1c6,"{""user_id"": ""180"", ""attempt"": 2}",cynthia37@example.org,normal,30
ch_089e1615f5a20e,cus_23ae733822e3bc,180,29900,0,GBP,succeeded,True,card_visa,2025-02-14 02:04:23.241010,Subscription payment for plan price_e33153306d35e6,,,in_ef6f809f4d661e,"{""user_id"": ""180"", ""attempt"": 3}",emoreno@example.com,normal,4
ch_164a5b29d1b78d,cus_23ae733822e3bc,180,29900,0,GBP,succeeded,True,bank_transfer,2025-02-17 09:25:56.521536,Subscription payment for plan price_e33153306d35e6,,,in_99ead3432e3fe9,"{""user_id"": ""180"", ""attempt"": 4}",torrescurtis@example.org,normal,54
ch_15a3ca20b402a9,cus_23ae733822e3bc,180,29900,0,USD,succeeded,True,apple_pay,2025-03-19 16:26:01.521536,Recurring payment - month 2,,,in_7b551a466f72d1,"{""user_id"": ""180"", ""recurring_month"": 2}",robertajones@example.net,normal,20
ch_60b087f8f97cab,cus_14bf1ed1a83678,181,29900,0,eur,failed,False,card_mastercard,2025-01-30 14:12:48.243470,Subscription payment for plan price_8f8bc135d73ea1,card_declined,Your card was declined.,in_5d6ba12e76bf91,"{""user_id"": ""181"", ""attempt"": 1}",cynthiahuffman@example.org,highest,70
